gap_type,severity,entity,field_name,detail
UNMAPPED_SOURCE_TABLE,HIGH,ADMISSIONMANAGEMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ADMUNBDHRG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ADTLADDCOR,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEA,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEACCBY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEACOMPLAINT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEADIAGNOSISCOMMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEADISCHARGE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEADOCTOR,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEADRUG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAIMMUNISATION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAINVESTIGATION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAINVESTIGATIONCOMMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEALETTERCOPY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEALOAN,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEANATSITE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAOUTSAFE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAPPLIANCE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAPROCEDURE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAPROCEDURECOMMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEARRIVALMODE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEASECDIAG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEATRACKSTEP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEATRACKSTEPCOMMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEATRIAGEID,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEATRIDRUG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEATTENDANCE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEATYPEINC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAUSERDEFDATA,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEAUSERDIAG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AECLINICMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AECOMPLAINT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AECUBICLE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDEPARTMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDEPARTMETHOD,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDIAGNOSIS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDIARY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDIARYCOMMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDOCTOR,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDRUG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEDRUGCOMMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEEPISODE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEHRG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEIMMUNISATION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEINITIATOR,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEINVESTIGATION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AELOCATION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEMEDICALCOMMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEPATIENTGROUP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEPLACEOFACCIDENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEPRIORITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEPROCEDURE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AESAFETYDEVICE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AESITEOFACCIDENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AESNOMEDCODE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETIMEELAPSED,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETRACKSTEP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETRIAGENURSE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETRIAGEPAINSCORE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETYPEINCIDENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETYPEOFACCIDENTMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETYPEROADUSER,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AETYPESPORT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEUSERDEFDATA,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEVALUABLES,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AEVALUABLESTEXT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ALLOCATEDCONTRACT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ALLOCPATCAT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ALLOCSPECIALTY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AMSUID,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ANAESTHETDET,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ANAESTHETICUDD,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ANANINIT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,APPOINTMENTDNA,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,APPTYP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ASFIELDMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ASFIELDRANGE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AUGCAREPATDET,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,AUGPATCARELOC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BCNTRACT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDCLASS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDCLOSURE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDDEFAULTRETURN,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDDEFBEDALLOC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDDEFCLOSURE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDDEFDELDISCH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDDEFEXPDISCH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDDEFRESERV,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDDEFSPECIALTY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDMANBEDALLOC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDMANCLOSURE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDMANDELDISCH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDMANEXPDISCH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDMANRESERV,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDMANSPECIALTY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BEDMANUALRETURN,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BIRTH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BIRTHUDD,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BORROWER,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,BREACH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CABSERVICE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CANCERBASISOFDIAGMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CANCERREGLINK,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CANCERSUMMARY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CANCERSUMMARYTREAT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CANCERTREATMTYPMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CASENLOC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CASENOTEDETS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CASENOTELINK,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CASENOTELOAN,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CCNTRCT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CIDUDCGRP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CLIDATA,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CLINGROUP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CLINICALFACILITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CLNHOL,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CMFT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONONSPEC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONSEPISDIAG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONSEPISODE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONSEPISPROC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONSEPIUNBDHRG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONSMAST,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONSPEC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONSWARDSTAY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONTR,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONTRASSRULE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CONTUID,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,COUNTRYBIRTHMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPACTIVITYPOSINDEX,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPADLMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSADL,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSADLOBS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSMENTMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSMENTOBPROBMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSTYPE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSTYPEADLANMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSTYPEADLMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPASSESSTYPEMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPCLINACTIVITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPCLINCONTACT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFACTIVITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFACTIVITYDATES,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFACTIVITYSG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCLINCAT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCLINCATSG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCLINEFFDATA,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCLINEFFLOCALITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCLINEFFOTHERTEAM,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCLINICIAN,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCLINSUBSPEC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCOMMDIAG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCOMMGRADE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCOMMREFSOURCE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFCOMMUSER,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFDISCHREASON,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFLOCALITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFLOCATION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFOUTCOME,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFOUTCOMESG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFPATGROUP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFPATGROUPSG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFREQUENCYMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFSECURITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFSECURITYPROFILE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFSECURITYPROFILESG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFSERVICEGROUPS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFSEVERITY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFSGCATEGORIES,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFTEAMS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFTREATCASE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPFTREATCASESG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPGOALINTCDMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPGOALMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPOTHERCONTACT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPPROBLEMGOALMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPPROBLEMMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPPROBLEMSGMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPPTCONTACT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPPTCONTACTNOTES,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPREFDISCH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSCPADLPROB,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSCPADLPROBGOAL,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSCPADLPROBGOALINTERV,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSECCONTDIAG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSECEPIDISCHDIAG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSECEPISDIAG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSGASSESSMENT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSGCONTACTINDEX,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSGREFERRAL,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSGREFTREATGRPS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSHOLDING,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSHOLDINGER,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSOPWLIST,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSTDCAREPLANMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSTDCAREPLANPROBLEMMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSTDCAREPLANSGMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPSUPLOAD,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPTREATEPI,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CPTREATEPIDISCH,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CRICAREPATDET,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CRIDMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CRITICALCAREACTYDTPAED,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CRITICALCARENEONATE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CRITICALCAREPERIODPAED,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CURRENTPREADMISSIONS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,CVCNTRCT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DELIVERY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DELIVERYUDD,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DENTALMODELDETS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DHA,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DIARY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DIARYAPPTTYPE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DIARYSERVICE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DIARYSESSIONCANC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DIARYTIMESLOT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DIARYTIMESLOTCANC,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DIARYTIMESLOTSERVICE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DISCHAWAITREASON,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DISCHAWAITREASONMF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DISCHEXPECTED,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DISP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DOCTEMPLATETYPES,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DOCTORSESSION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DOCTORTEMPLATE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DOCTORTIMESLOT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DOCTORTIMESLOTSERVICE,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DOCUMENTS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DOD,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,DRAPPTYP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ECRSTATUSHISTORY,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ECT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,EFG,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,EPIREGISTRATION,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ETHN,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,ETHNCLASS,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,FCEEXT,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,FSDEF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,FSEDEF,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,GDP,,Source table exists in dictionary but has no migration mapping defined.
UNMAPPED_SOURCE_TABLE,HIGH,GP,,Source table exists in dictionary but has no migration mapping defined.
